Year,Population
1900,77700.0
1901,83070.0
1902,88440.0
1903,93810.0
1904,99180.0
1905,104550.0
1906,109920.0
1907,115290.0
1908,120660.0
1909,126030.0
1910,131400.0
1911,134190.0
1912,136980.0
1913,139770.0
1914,142560.0
1915,145350.0
1916,148140.0
1917,150930.0
1918,153720.0
1919,156510.0
1920,159300.0
1921,162780.0
1922,166260.0
1923,169740.0
1924,173220.0
1925,176700.0
1926,180180.0
1927,183660.0
1928,187140.0
1929,190620.0
1930,194100.0
1931,195850.0
1932,197600.0
1933,199350.0
1934,201100.0
1935,202850.0
1936,204600.0
1937,206350.0
1938,208100.0
1939,209850.0
1940,211600.0
1941,217930.0
1942,224260.0
1943,230590.0
1944,236920.0
1945,243250.0
1946,249580.0
1947,255910.0
1948,262240.0
1949,268570.0
1950,274900.0
1951,288070.0
1952,301240.0
1953,314410.0
1954,327580.0
1955,340750.0
1956,353920.0
1957,367090.0
1958,380260.0
1959,393430.0
1960,406600.0
1961,414540.0
1962,422480.0
1963,430420.0
1964,438360.0
1965,446300.0
1966,454240.0
1967,462180.0
1968,470120.0
1969,478060.0
1970,486000.0
1971,502930.0
1972,519860.0
1973,536790.0
1974,553720.0
1975,570650.0
1976,587580.0
1977,604510.0
1978,621440.0
1979,638370.0
1980,655300.0
1981,666580.0
1982,677860.0
1983,689140.0
1984,700420.0
1985,711700.0
1986,722980.0
1987,734260.0
1988,745540.0
1989,756820.0
1990,768100.0
1991,788180.0
1992,808260.0
1993,828340.0
1994,848420.0
1995,868500.0
1996,888580.0
1997,908660.0
1998,928740.0
1999,948820.0
2000,968900.0
2001,984430.0
2002,999960.0
2003,1015490.0
2004,1031020.0
2005,1046550.0
2006,1062080.0
2007,1077610.0
2008,1093140.0
2009,1108670.0
2010,1124200.0
2011,1137570.0
2012,1150940.0
2013,1164310.0
2014,1177680.0
2015,1191050.0
2016,1204420.0
2017,1217790.0
2018,1231160.0
2019,1244530.0
2020,1257900.0
2021,1186500.0
2022,1192000.0
2023,1203000.0
2024,1216300.0
2025,1226000.0
